NotSquare Data
Color:5, upperC:0, upperR: 0, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:0, upperR: 0, NWkid Color:5, NEkid Color:5, SWkid Color:5, SEkid Color:5
Color:5, upperC:0, upperR: 0, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:0, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:8, upperR: 0, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:0, upperR: 8, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:0, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:4, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:0, upperR: 12, NWkid Color:5, NEkid Color:5, SWkid Color:0, SEkid Color:0
Color:5, upperC:0, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:0, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:1, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:0, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:1, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:2, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:2, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:3, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:2, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:3, upperR: 13, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:0, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:2, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:4, upperR: 12, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:4, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:6, upperR: 12, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:4, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:4, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:5, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:4, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:5, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:6, upperR: 14, NWkid Color:1, NEkid Color:1, SWkid Color:0, SEkid Color:0
Color:1, upperC:6, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:7, upperR: 14, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:6, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:7, upperR: 15, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:8, upperR: 8, NWkid Color:5, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:5, upperC:8, upperR: 8, NWkid Color:0, NEkid Color:0, SWkid Color:5, SEkid Color:5
Color:0, upperC:8, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:10, upperR: 8, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:8, upperR: 10, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
Color:0, upperC:8, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:0, upperC:9, upperR: 10, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:8, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:1, upperC:9, upperR: 11, NWkid Color:null, NEkid Color:null, SWkid Color:null, SEkid Color:null
Color:5, upperC:10, upperR: 10, NWkid Color:0, NEkid Color:0, SWkid Color:1, SEkid Color:1
